Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24,dhid
Gisborne,McDonald's Gisborne,25A Robertson Street,VIC,3437,2021-09-26,26/09/2021,6:20pm - 7:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,22:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,18:20:00,19:00:00,B6Z3
Gisborne,Woks N Dumplings,2/10 Prince Street,VIC,3437,2021-09-26,26/09/2021,6:00pm - 6:47pm,Case attended venue,2021-10-01,01/10/2021,22:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,18:00:00,18:47:00,A4S6
Gisborne,Coles Gisborne,Robertson Street & Aitken Street,VIC,3437,2021-09-27,27/09/2021,6:00pm - 6:45pm,Case attended venue,2021-10-01,01/10/2021,22:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,18:00:00,18:45:00,E7A6
Mooroopna,Mooroopna Golf Club Bar,2 Fairway Drive,VIC,3629,2021-09-24,24/09/2021,10:00am - 1:00pm,Case attended venue,2021-10-01,01/10/2021,22:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,10:00:00,13:00:00,C4P5
Muckatah,O'Loughlin Excavations,774 Campbell Road,VIC,3644,2021-09-27,27/09/2021,6:30am - 5:30pm,Case attended venue,2021-10-01,01/10/2021,22:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:30:00,17:30:00,B4Q3
Muckatah,O'Loughlin Excavations,774 Campbell Road,VIC,3644,2021-09-28,28/09/2021,6:30am - 5:30pm,Case attended venue,2021-10-01,01/10/2021,22:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:30:00,17:30:00,C5X8
Muckatah,O'Loughlin Excavations,774 Campbell Road,VIC,3644,2021-09-29,29/09/2021,6:30am - 5:30pm,Case attended venue,2021-10-01,01/10/2021,22:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:30:00,17:30:00,D7C8
Fitzroy,Victorian Aboriginal Health Services,186 Nicholson Street,VIC,3065,2021-09-29,29/09/2021,1:30pm - 4:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,21:56:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,13:30:00,16:00:00,A7R4
Shepparton,Nido Early Learning Centre Shepparton,2-10 St Georges Road,VIC,3630,2021-09-28,28/09/2021,8:30am - 9:00am,Case attended venue,2021-10-01,01/10/2021,21:56:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:30:00,09:00:00,D8Q6
Cobblebank,Four Corners Medical Clinic,No 4/201 Ferris Road,VIC,3338,2021-09-27,27/09/2021,12:30pm - 1:30pm,Case attended venue,2021-10-01,01/10/2021,21:30:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,12:30:00,13:30:00,E4L6
Thomastown,Harvey Norman Thomastown,308-320 Settlement Road,VIC,3074,2021-09-24,24/09/2021,9:30am - 5:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,21:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:30:00,17:00:00,B6L6
Thomastown,Harvey Norman Thomastown,308-320 Settlement Road,VIC,3074,2021-09-25,25/09/2021,9:00am - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,21:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:00:00,17:30:00,B5G7
Thomastown,Harvey Norman Thomastown,308-320 Settlement Road,VIC,3074,2021-09-26,26/09/2021,8:45am - 6:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,21:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:45:00,18:00:00,B4K7
Blackburn,Smile Avenue Specialist Orthodontists ,Shop 1/394-398 Middleborough Road,VIC,3130,2021-09-27,27/09/2021,11:00am - 12:00pm,Case attended venue,2021-10-01,01/10/2021,20:55:44,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,11:00:00,12:00:00,B6X3
Ballarat,Big W Ballarat,Grenville and Curtis Street,VIC,3350,2021-09-28,28/09/2021,10:40am - 11:30am,Case attended venue,2021-10-01,01/10/2021,20:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,10:40:00,11:30:00,E8X8
Ararat,Woolworths Ararat,3 Ingor Street,VIC,3377,2021-09-28,28/09/2021,4:45pm - 5:45pm,Case attended venue,2021-10-01,01/10/2021,18:42:13,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,16:45:00,17:45:00,D4T2
East Bendigo,Beaumont Tiles Bendigo,88-94 Strickland Road,VIC,3550,2021-09-29,29/09/2021,4:45pm - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,18:42:13,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,16:45:00,17:30:00,C7L3
Bakery Hill,Australia Post - Bakery Hill Business Centre,26-36 Humffray Street North,VIC,3350,2021-09-29,29/09/2021,10:20am - 11:05am,Case attended venue,2021-10-01,01/10/2021,18:42:13,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,10:20:00,11:05:00,C9Q6
Ballarat,Schnitz Ballarat,321 Sturt Street,VIC,3350,2021-09-29,29/09/2021,1:40pm - 2:30pm,Case attended venue,2021-10-01,01/10/2021,18:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,13:40:00,14:30:00,D3Y7
Ballarat,Petstock Ballarat Central,55-61 Mair Street East,VIC,3350,2021-09-29,29/09/2021,1:20pm - 2:15pm,Case attended venue,2021-10-01,01/10/2021,18:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,13:20:00,14:15:00,C3H9
Campbellfield,Katik Turkish Take Away,349 Barry Road,VIC,3061,2021-09-23,23/09/2021,3:00pm - 8:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,18:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,15:00:00,20:30:00,A8N6
Campbellfield,Katik Turkish Take Away,349 Barry Road,VIC,3061,2021-09-24,24/09/2021,3:00pm - 8:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,18:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,15:00:00,20:30:00,C9T9
Campbellfield,Katik Turkish Take Away,349 Barry Road,VIC,3061,2021-09-25,25/09/2021,3:00pm - 8:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,18:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,15:00:00,20:30:00,B8H4
Wendouree,Adairs Wendouree Ballarat Homemaker,Shop 8A/333 Gillies Street North,VIC,3355,2021-09-29,29/09/2021,12:10pm - 1:00pm,Case attended venue,2021-10-01,01/10/2021,18:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,12:10:00,13:00:00,D7V5
Fitzroy North,Greensleeves Coffee House,100 Scotchmer Street,VIC,3068,2021-09-28,28/09/2021,7:30am - 2:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,18:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:30:00,14:30:00,A4L7
Gisborne,Coles Gisborne,Robertson Street & Aitken Street,VIC,3437,2021-09-26,26/09/2021,5:00pm - 6:00pm,Case attended venue,2021-10-01,01/10/2021,16:05:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,17:00:00,18:00:00,B7F7
Geelong,Hype DC Westfield Geelong,Shop 2246/95 Malop Street,VIC,3220,2021-09-27,27/09/2021,12:00pm - 4:00pm,Case attended venue,2021-10-01,01/10/2021,16:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,12:00:00,16:00:00,B2Z3
Terang,BP Truckstop Terang,39 High Street,VIC,3264,2021-09-27,27/09/2021,7:00pm - 7:45pm,Case attended venue,2021-10-01,01/10/2021,16:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,19:00:00,19:45:00,B2E2
Geelong,Chemist Warehouse Westfield Geelong,Shop 1187-1188/95 Malop Street,VIC,3220,2021-09-27,27/09/2021,12:50pm - 1:30pm,Case attended venue,2021-10-01,01/10/2021,16:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,12:50:00,13:30:00,D8B7
Newtown,Born and Bread Bakehouse,364 Pakington Street,VIC,3220,2021-09-27,27/09/2021,11:55am - 12:35pm,Case attended venue,2021-10-01,01/10/2021,16:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,11:55:00,12:35:00,B9X9
Norlane,Premix King,17 Donnybrook Road,VIC,3214,2021-09-25,25/09/2021,8:10pm - 9:00pm,Case attended venue,2021-10-01,01/10/2021,16:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,20:10:00,21:00:00,C7S7
Meadow Heights,My Chemist Meadow Heights Shopping Centre,Shop 5-7/55 Paringa Boulevard,VIC,3048,2021-09-27,27/09/2021,9:00am - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,16:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:00:00,17:30:00,C9P6
Epping,Bunnings Epping,310 Cooper Street,VIC,3076,2021-09-27,27/09/2021,6:00am - 3:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,16:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,06:00:00,15:30:00,E2R2
Shepparton,The Daily Indo-Thai Asian Grocery,127 Wyndham Street,VIC,3630,2021-09-27,27/09/2021,9:00am - 8:00pm,Case attended venue,2021-10-01,01/10/2021,16:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:00:00,20:00:00,E5W3
Shepparton,The Daily Indo-Thai Asian Grocery,127 Wyndham Street,VIC,3630,2021-09-28,28/09/2021,9:00am - 8:00pm,Case attended venue,2021-10-01,01/10/2021,16:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:00:00,20:00:00,A5Y3
Shepparton,The Daily Indo-Thai Asian Grocery,127 Wyndham Street,VIC,3630,2021-09-29,29/09/2021,9:00am - 8:00pm,Case attended venue,2021-10-01,01/10/2021,16:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:00:00,20:00:00,D8Z7
Templestowe,Templestowe Pizzeria,2/22 Newmans Road,VIC,3106,2021-09-26,26/09/2021,5:00pm - 10:45pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,14:40:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,17:00:00,22:45:00,D5D5
Geelong,Coles Westfield Geelong,Moorabool Street & Brougham Street,VIC,3220,2021-09-27,27/09/2021,12:00pm - 4:00pm,Case attended venue,2021-10-01,01/10/2021,12:38:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,12:00:00,16:00:00,B6R6
Geelong,Lorna Jane Westfield Geelong,Shop 1176/95 Malop Street,VIC,3020,2021-09-27,27/09/2021,12:00pm - 4:00pm,Case attended venue,2021-10-01,01/10/2021,12:38:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,12:00:00,16:00:00,E3L5
Geelong,Glue Store Westfield Geelong,Shop 2275/95 Malop Street,VIC,3020,2021-09-27,27/09/2021,12:00pm - 4:00pm,Case attended venue,2021-10-01,01/10/2021,12:38:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,12:00:00,16:00:00,E3D2
Emerald,HEI Schools Emerald Early Learning Centre,267-271 Belgrave-Gembrook Road,VIC,3782,2021-09-27,27/09/2021,9:00am - 6:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,12:35:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:00:00,18:30:00,A6V8
Emerald,HEI Schools Emerald Early Learning Centre,267-271 Belgrave-Gembrook Road,VIC,3782,2021-09-28,28/09/2021,9:00am - 6:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,12:35:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:00:00,18:30:00,A7Z8
Grovedale,APCO Service Stations Grovedale,133-143 Surf Coast Highway,VIC,3216,2021-09-27,27/09/2021,8:45am - 9:30am,Case attended venue,2021-10-01,01/10/2021,12:35:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:45:00,09:30:00,C6R5
Lara,Coles Lara Village Shopping Centre,Waverley Road,VIC,3212,2021-09-26,26/09/2021,9:20am - 10:20am,Case attended venue,2021-10-01,01/10/2021,12:35:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:20:00,10:20:00,C2W4
Wyndham Vale,Prodigy Early Learning,2 Ribblesdale Avenue,VIC,3024,2021-09-27,27/09/2021,6:41am - 3:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,12:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,06:41:00,15:00:00,E3X2
Reservoir,Bakers Delight Reservoir,289 Spring Street,VIC,3073,2021-09-27,27/09/2021,10:00am - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,11:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,10:00:00,17:30:00,E7U2
Moe,Moe Betta Home Living,"""Shop 2 17 Moore Street""",VIC,3825,2021-09-27,27/09/2021,9:00am - 5:00pm,Case attended venue,2021-09-30,30/09/2021,22:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,17:00:00,B6E2
Cranbourne North,Hungry Jack's - Cranbourne North,398 South Gippsland Highway,VIC,3977,2021-09-25,25/09/2021,11:00am - 5:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,22:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,11:00:00,17:00:00,B8N5
Maddingley,Shape It Fitness,33 Griffith Street,VIC,3340,2021-09-27,27/09/2021,12:00pm - 1:30pm,Case attended venue,2021-09-30,30/09/2021,22:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,12:00:00,13:30:00,B4L9
Truganina,Truganina Early Learning Centre,72 Clearwood Drive,VIC,3029,2021-09-27,27/09/2021,8:00am - 4:30pm,Case attended venue,2021-09-30,30/09/2021,22:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:00:00,16:30:00,B2L3
Geelong,Body and Balance - Westfield Geelong,"""Level 1 95 Malop Street""",VIC,3220,2021-09-27,27/09/2021,1:00pm - 3:00pm,Case attended venue,2021-09-30,30/09/2021,21:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,13:00:00,15:00:00,A6D9
Braybrook,Goodstart Early Learning Braybrook,1 Vine Street,VIC,3019,2021-09-27,27/09/2021,8:00am - 3:30pm,Case attended venue,2021-09-30,30/09/2021,21:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:00:00,15:30:00,B8K9
Epping,Bunnings Epping,310 Cooper Street,VIC,3076,2021-09-27,27/09/2021,6:00am - 3:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,21:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,06:00:00,15:30:00,B5E8
Newcomb,APCO Service Station Newcomb,64 Portarlington Road,VIC,3219,2021-09-27,27/09/2021,5:05pm - 5:40pm,Case attended venue,2021-09-30,30/09/2021,21:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,17:05:00,17:40:00,D5P8
Geelong,Westfield Geelong,95 Malop Street,VIC,3220,2021-09-27,27/09/2021,12:00pm - 4:00pm,Case attended venue,2021-09-30,30/09/2021,21:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,12:00:00,16:00:00,A3G7
Geelong,Corio Bay Health Group,283 Latrobe Terrace,VIC,3220,2021-09-25,25/09/2021,9:50am - 11:30am,Case attended venue,2021-09-30,30/09/2021,20:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:50:00,11:30:00,C9T7
Tullamarine,Tullamarine Testing Facility,157 Mickleham Road,VIC,3043,2021-09-25,25/09/2021,2:00pm - 3:30pm,Case attended venue,2021-09-30,30/09/2021,20:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,14:00:00,15:30:00,A2G6
Broadmeadows,Woolworths - Broadmeadows Central,1099-1169 Pascoe Vale Road,VIC,3047,2021-09-26,26/09/2021,6:00am - 1:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,18:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,06:00:00,13:00:00,D4Q9
Queenscliff,Oh My Buddha,78 Hesse Street,VIC,3225,2021-09-26,26/09/2021,2:04pm - 2:40pm,Case attended venue,2021-09-30,30/09/2021,18:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,14:04:00,14:40:00,C8K2
Broadmeadows,Woolworths - Broadmeadows Central,1099-1169 Pascoe Vale Road,VIC,3047,2021-09-26,26/09/2021,5:00pm - 11:59pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,18:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,17:00:00,23:59:00,D5K2
Queenscliff,The Scandinavian Ice Cream Company,80 Hesse Street,VIC,3225,2021-09-26,26/09/2021,1:45pm - 2:30pm,Case attended venue,2021-09-30,30/09/2021,18:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,13:45:00,14:30:00,E2M8
Warrnambool,SUPA IGA Warrnambool,221 Timor Street,VIC,3047,2021-09-27,27/09/2021,4:00pm - 9:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,18:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,16:00:00,21:30:00,A9K2
Warrnambool,SUPA IGA Warrnambool,221 Timor Street,VIC,3280,2021-09-28,28/09/2021,7:00am - 7:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,18:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:00:00,19:30:00,C7R6
Warrnambool,SUPA IGA Warrnambool,221 Timor Street,VIC,3280,2021-09-29,29/09/2021,7:00am - 4:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,18:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:00:00,16:30:00,E7B8
Lower Plenty,Goodstart Lower Plenty,412 Main Road,VIC,3093,2021-09-27,27/09/2021,10:00am - 4:30pm,Case attended venue,2021-09-30,30/09/2021,18:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,10:00:00,16:30:00,C4M3
Dandenong South,Woolworths - The Village Dandenong,81-125 Princes Highway,VIC,3175,2021-09-27,27/09/2021,6:45am - 3:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,18:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,06:45:00,15:30:00,D4T3
Narre Warren,Narre Kids Eearly Learning & Kinder,413-415 Princes Highway,VIC,3805,2021-09-24,24/09/2021,9:00am - 4:30pm,Case attended venue,2021-09-30,30/09/2021,16:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,16:30:00,D4A4
Shepparton,Victoria Hotel Shepparton - Gaming Area,272 Wyndham Street,VIC,3630,2021-09-26,26/09/2021,9:00pm - 11:59pm,Case attended venue,2021-09-30,30/09/2021,16:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,21:00:00,23:59:00,C6X7
Sydenham,Woolworths Watergarden South,399 Melton Highway,VIC,3037,2021-09-24,24/09/2021,5:54pm - 11:45pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,16:43:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,17:54:00,23:45:00,D2T3
Sydenham,Woolworths Watergarden South,399 Melton Highway,VIC,3037,2021-09-25,25/09/2021,5:54pm - 11:45pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,16:43:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,17:54:00,23:45:00,D8G7
Sydenham,Woolworths Watergarden South,399 Melton Highway,VIC,3037,2021-09-26,26/09/2021,5:54pm - 10:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,16:43:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,17:54:00,22:30:00,B7H7
Ararat,Priceline Pharmacy Ararat,119 Barkly Street,VIC,3377,2021-09-27,27/09/2021,2:50pm - 4:00pm,Case attended venue,2021-09-30,30/09/2021,15:05:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,14:50:00,16:00:00,A8Z3
Ararat,Woolworths Ararat,3 Ingor Street,VIC,3377,2021-09-27,27/09/2021,3:00pm - 4:00pm,Case attended venue,2021-09-30,30/09/2021,15:05:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,15:00:00,16:00:00,D6N4
Richmond,Coles - Victoria Gardens Shopping Centre ,Victoria Street & Burnley Street,VIC,3121,2021-09-24,24/09/2021,2:00pm - 9:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,15:05:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,14:00:00,21:30:00,B6E5
Breakwater,McHarry's Buslines (Workshop Division),6 Reeves Court,VIC,3219,2021-09-27,27/09/2021,7:00am - 5:00pm,Case attended venue,2021-09-30,30/09/2021,14:40:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,07:00:00,17:00:00,B3V6
Colac,McDonald's Colac,261 Murray Street,VIC,3250,2021-09-27,27/09/2021,6:30pm - 8:30pm,Case attended venue,2021-09-30,30/09/2021,14:40:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,18:30:00,20:30:00,A7N7
Kerang,Exchange Hotel Kerang,62-64 Wellington Street,VIC,3579,2021-09-26,26/09/2021,10:40am - 1:35pm,Case attended venue,2021-09-30,30/09/2021,13:35:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,10:40:00,13:35:00,C8P2
Clayton,Translation Research Facility - Female Public Bathrooms (Block R) - Monash Medical Centre,246 Clayton Road,VIC,3168,2021-09-27,27/09/2021,9:00am - 11:30am,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,12:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:00:00,11:30:00,D2T8
Seymour,ALDI Seymour,32-34 Tallarook Street,VIC,3660,2021-09-24,24/09/2021,10:15am - 11:00am,Case attended venue,2021-09-30,30/09/2021,12:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,10:15:00,11:00:00,C7L5
Traralgon,Woolworths Traralgon,Seymour Street,VIC,3844,2021-09-26,26/09/2021,5:00pm - 5:30pm,Case attended venue,2021-09-30,30/09/2021,12:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,17:00:00,17:30:00,A3N6
Traralgon,Kmart - Traralgon Centre Plaza,166-188 Franklin Street,VIC,3844,2021-09-26,26/09/2021,5:30pm - 6:20pm,Case attended venue,2021-09-30,30/09/2021,12:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,17:30:00,18:20:00,D6B2
Traralgon,Traralgon Centre Plaza,166-188 Franklin Street,VIC,3844,2021-09-26,26/09/2021,5:20pm - 5:40pm,Case attended venue,2021-09-30,30/09/2021,12:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,17:20:00,17:40:00,A6B3
Traralgon,Traralgon Centre Plaza,166-188 Franklin Street,VIC,3844,2021-09-27,27/09/2021,1:45pm - 2:10pm,Case attended venue,2021-09-30,30/09/2021,12:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,13:45:00,14:10:00,B9L4
Traralgon,Food Co - On Franklin,217 Franklin Street,VIC,3844,2021-09-27,27/09/2021,1:15pm - 1:35pm,Case attended venue,2021-09-30,30/09/2021,12:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,13:15:00,13:35:00,D2T2
Traralgon,Specsavers Traralgon,70 Seymour Street,VIC,3844,2021-09-27,27/09/2021,9:15am - 10:30am,Case attended venue,2021-09-30,30/09/2021,12:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:15:00,10:30:00,D6W7
Clayton,Nesso Cafe - Monash Medical Centre,246 Clayton Road,VIC,3168,2021-09-27,27/09/2021,9:00am - 11:30am,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,10:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:00:00,11:30:00,C9U4
Berwick,Coles Eden Rise Village,1 Oshea Road,VIC,3806,2021-09-24,24/09/2021,7:00am - 9:15am,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-09-30,30/09/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:00:00,09:15:00,C5G7
Shepparton,Nido Early Learning Centre Shepparton,2-10 St Georges Road,VIC,3630,2021-09-27,27/09/2021,8:50am - 5:25pm,Case attended venue,2021-09-30,30/09/2021,10:05:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:50:00,17:25:00,D4V4
Colac,Coles Colac Plaza,Corner Bromfield & Queen Street,VIC,3250,2021-09-26,26/09/2021,6:00pm - 7:30pm,Case attended venue,2021-09-30,30/09/2021,10:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,18:00:00,19:30:00,D6A6
